confidence_score,interaction_type,partner_in_mosaic,partner_symbol,source_db,target_id,updated_at
651,physical,True,OPRM1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
648,physical,False,CYP2E1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
644,physical,False,SLC47A1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
635,physical,False,TUBB3,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
635,physical,False,GAPDH,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
619,physical,True,EGFR,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
618,physical,False,CAV1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
618,physical,False,SLC22A2,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
617,physical,True,TP53,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
616,physical,True,AKT1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
614,physical,False,C19orf48,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
610,physical,False,SLC22A6,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
603,physical,False,ACTB,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
602,physical,False,NR1I3,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
599,physical,False,SLC10A1,STRING,ABCB1,2026-05-26 12:34:10.431009+00:00
999,physical,False,KCNJ8,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
999,physical,True,KCNJ11,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
898,physical,False,ABCC8,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
806,physical,False,RBM20,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
761,physical,False,SCN5A,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
737,physical,False,MYBPC3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
724,physical,False,CSRP3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
721,physical,False,TMPO,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
715,physical,False,EYA4,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
713,physical,False,DSG2,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
700,physical,False,LDB3,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
699,physical,False,NEXN,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
698,physical,False,SGCD,STRING,ABCC9,2026-05-26 12:34:10.431009+00:00
