clinical_status,compound_id,indication_id,max_phase,source_doc_id
preclinical,CHEMBL483158,mesh_d008224,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d002294,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d002289,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d009369,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d001943,0,chembl:CHEMBL483158
preclinical,CHEMBL483158,mesh_d001749,0,chembl:CHEMBL483158
preclinical,CHEMBL48361,mesh_d054556,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d001281,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d014947,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d020521,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d006470,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d006406,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d051437,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d013923,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d018357,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d000083242,0,chembl:CHEMBL48361
preclinical,CHEMBL48361,mesh_d046589,0,chembl:CHEMBL48361
preclinical,CHEMBL491473,mesh_d002292,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d005909,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d012004,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d015470,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d007938,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d002289,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d001661,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d018234,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d055752,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d008545,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d009362,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d013964,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d013274,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d010534,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d005185,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d002583,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d001943,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d010051,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d064129,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d008175,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d016889,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d001932,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d011471,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d009369,0,chembl:CHEMBL491473
preclinical,CHEMBL491473,mesh_d015179,0,chembl:CHEMBL491473
preclinical,CHEMBL5095030,mesh_d015464,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d006689,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d009190,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d015470,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d013274,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d009101,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d000741,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d004938,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d054198,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d009369,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d000755,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d008228,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095030,mesh_d000230,0,chembl:CHEMBL5095030
preclinical,CHEMBL5095033,mesh_d009369,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d006528,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d055752,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d008228,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d010051,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d064726,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095033,mesh_d012509,0,chembl:CHEMBL5095033
preclinical,CHEMBL5095273,mesh_d013274,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d009369,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d010190,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d001943,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d001749,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d002583,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d015179,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095273,mesh_d064129,0,chembl:CHEMBL5095273
preclinical,CHEMBL5095485,mesh_d003920,0,chembl:CHEMBL5095485
preclinical,CHEMBL5095485,mesh_d009765,0,chembl:CHEMBL5095485
preclinical,CHEMBL5095485,mesh_d051437,0,chembl:CHEMBL5095485
preclinical,CHEMBL5095485,mesh_d003924,0,chembl:CHEMBL5095485
preclinical,CHEMBL519504,mesh_d003924,0,chembl:CHEMBL519504
preclinical,CHEMBL521589,mesh_d008173,0,chembl:CHEMBL521589
preclinical,CHEMBL521589,mesh_d006976,0,chembl:CHEMBL521589
preclinical,CHEMBL522892,mesh_d015470,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d008545,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d009101,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d003528,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d008654,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d006528,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d002292,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d002289,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d018316,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d014565,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d000306,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d013274,0,chembl:CHEMBL522892
preclinical,CHEMBL522892,mesh_d001749,0,chembl:CHEMBL522892
