compound_id,confidence,context_type,mention_count,paper_id
CHEMBL3545110,1.0,abstract,1,40768821
CHEMBL3301610,1.0,abstract,1,41544174
CHEMBL140,1.0,abstract,1,37927802
CHEMBL189963,1.0,abstract,1,37661815
CHEMBL189963,1.0,abstract,1,32506263
CHEMBL189963,1.0,abstract,1,37886470
CHEMBL189963,1.0,abstract,1,41087648
CHEMBL575060,1.0,abstract,1,36746338
CHEMBL189963,1.0,abstract,1,36746338
CHEMBL157101,1.0,abstract,1,40060625
CHEMBL189963,1.0,abstract,1,37105116
CHEMBL53463,1.0,abstract,1,39169611
CHEMBL59,1.0,abstract,1,34970960
CHEMBL972,1.0,abstract,1,34970960
CHEMBL887,1.0,abstract,1,34970960
CHEMBL396778,1.0,abstract,1,34970960
CHEMBL3545110,1.0,abstract,1,33647744
CHEMBL3301610,1.0,abstract,1,36174113
CHEMBL3301610,1.0,abstract,1,32694159
CHEMBL1201585,1.0,abstract,1,32694159
CHEMBL189963,1.0,abstract,1,38815797
CHEMBL189963,1.0,abstract,1,38890447
CHEMBL3301622,1.0,abstract,1,38890447
CHEMBL189963,1.0,abstract,1,40766702
CHEMBL1201631,1.0,abstract,1,36256836
CHEMBL1200689,1.0,abstract,1,36256836
CHEMBL189963,1.0,abstract,1,39598723
CHEMBL413,1.0,abstract,1,35264774
CHEMBL413,1.0,abstract,1,36595328
CHEMBL3301610,1.0,abstract,1,37061342
CHEMBL189963,1.0,abstract,1,34573335
CHEMBL3301610,1.0,abstract,1,32781837
CHEMBL189963,1.0,abstract,1,32781837
CHEMBL3545110,1.0,abstract,1,32781837
CHEMBL3137309,1.0,abstract,2,39561378
CHEMBL1789941,1.0,abstract,1,34145036
CHEMBL1287853,1.0,abstract,1,34145036
CHEMBL189963,1.0,abstract,1,34145036
CHEMBL189963,1.0,abstract,1,41056429
CHEMBL189963,1.0,abstract,1,40000765
CHEMBL3301610,1.0,abstract,1,39330025
CHEMBL1536,1.0,abstract,1,36740804
CHEMBL4297939,1.0,abstract,2,39585341
