pathway_id,role,target_id
R-HSA-9032845,participant,CDK5
R-HSA-9768919,participant,CDK5
R-HSA-180024,participant,CDK5
R-HSA-983231,participant,CDK5
R-HSA-8862803,participant,CDK5
R-HSA-6811555,participant,PIN1
R-HSA-9029569,participant,PLTP
R-HSA-1368108,participant,PPARA
R-HSA-400206,participant,PPARA
R-HSA-383280,participant,PPARA
R-HSA-4090294,participant,PPARA
R-HSA-5362517,participant,PPARD
R-HSA-383280,participant,PPARD
R-HSA-8943724,participant,PPARG
R-HSA-381340,participant,PPARG
R-HSA-1989781,participant,PPARG
R-HSA-9022707,participant,PPARG
R-HSA-383280,participant,PPARG
R-HSA-4090294,participant,PPARG
R-HSA-9843970,participant,PPHLN1
R-HSA-380284,participant,PRKACA
R-HSA-380259,participant,PRKACA
R-HSA-380270,participant,PRKACA
R-HSA-2565942,participant,PRKACA
R-HSA-8854518,participant,PRKACA
R-HSA-380320,participant,PRKACA
R-HSA-9664323,participant,PRKACA
R-HSA-180024,participant,PRKACA
R-HSA-432040,participant,PRKACA
R-HSA-164378,participant,PRKACA
R-HSA-381676,participant,PRKACA
R-HSA-163358,participant,PRKACA
R-HSA-9634600,participant,PRKACA
R-HSA-422356,participant,PRKACA
R-HSA-392517,participant,PRKACA
R-HSA-8853659,participant,PRKACA
R-HSA-5578775,participant,PRKACA
R-HSA-5620912,participant,PRKACA
R-HSA-2122948,participant,PSEN2
R-HSA-9013507,participant,PSEN2
R-HSA-9013700,participant,PSEN2
R-HSA-2894862,participant,PSEN2
R-HSA-1251985,participant,PSEN2
R-HSA-193692,participant,PSEN2
R-HSA-205043,participant,PSEN2
R-HSA-5632684,participant,PSMA1
R-HSA-5668541,participant,PSMA1
R-HSA-5676590,participant,PSMA1
R-HSA-5607761,participant,PSMA1
R-HSA-1236978,participant,PSMA1
R-HSA-1236974,participant,PSMA1
R-HSA-350562,participant,PSMA1
R-HSA-9958825,participant,PSMA1
R-HSA-2871837,participant,PSMA1
R-HSA-8939902,participant,PSMA1
R-HSA-5610785,participant,PSMA1
R-HSA-9766229,participant,PSMA1
R-HSA-195253,participant,PSMA1
R-HSA-4641257,participant,PSMA1
R-HSA-1234176,participant,PSMA1
R-HSA-8948751,participant,PSMA1
R-HSA-983168,participant,PSMA1
R-HSA-174184,participant,PSMA1
R-HSA-174113,participant,PSMA1
R-HSA-180585,participant,PSMA1
R-HSA-8951664,participant,PSMA1
R-HSA-9755511,participant,PSMA1
R-HSA-382556,participant,PSMA1
R-HSA-9932298,participant,PSMA1
R-HSA-9010553,participant,PSMA1
R-HSA-5362768,participant,PSMA1
R-HSA-5358346,participant,PSMA1
R-HSA-5678895,participant,PSMA1
R-HSA-9954709,participant,PSMA1
R-HSA-450408,participant,PSMA1
R-HSA-5687128,participant,PSMA1
R-HSA-9907900,participant,PSMA1
R-HSA-5689603,participant,PSMA1
R-HSA-5689880,participant,PSMA1
R-HSA-416476,participant,PTAFR
R-HSA-373076,participant,PTAFR
R-HSA-6798695,participant,PTAFR
R-HSA-1660499,participant,PTEN
R-HSA-202424,participant,PTEN
R-HSA-199418,participant,PTEN
R-HSA-5628897,participant,PTEN
R-HSA-1855204,participant,PTEN
R-HSA-8943723,participant,PTEN
R-HSA-8948747,participant,PTEN
R-HSA-8948751,participant,PTEN
R-HSA-8986944,participant,PTEN
R-HSA-5689896,participant,PTEN
R-HSA-418555,participant,PTGIR
R-HSA-936964,participant,PTPN11
R-HSA-1295596,participant,PTPN11
R-HSA-912694,participant,PTPN11
R-HSA-877312,participant,PTPN11
R-HSA-114604,participant,PTPN11
R-HSA-909733,participant,PTPN11
R-HSA-9705671,participant,PTPN11
R-HSA-389948,participant,PTPN11
R-HSA-9927353,participant,PTPN11
R-HSA-512988,participant,PTPN11
R-HSA-391160,participant,PTPN11
R-HSA-1433557,participant,PTPN11
R-HSA-432142,participant,PTPN11
R-HSA-210990,participant,PTPN11
R-HSA-210993,participant,PTPN11
R-HSA-186763,participant,PTPN11
R-HSA-389513,participant,PTPN11
R-HSA-8854691,participant,PTPN11
R-HSA-9028731,participant,PTPN11
R-HSA-176409,participant,CDC20
R-HSA-174113,participant,CDC20
R-HSA-141430,participant,CDC23
R-HSA-179409,participant,CDC23
R-HSA-174178,participant,CDC23
R-HSA-113507,participant,CDK1
R-HSA-69202,participant,CDK2
R-HSA-912446,participant,CDK2
R-HSA-9616222,participant,CDK2
R-HSA-983231,participant,CDK2
R-HSA-75815,participant,CDK4
R-HSA-69231,participant,CDK6
R-HSA-8934593,participant,CDK6
R-HSA-2559580,participant,CDKN2A
R-HSA-2559585,participant,CDKN2A
R-HSA-69541,participant,CDKN2A
R-HSA-6804757,participant,CDKN2A
R-HSA-8941858,participant,CDKN2A
R-HSA-9759194,participant,CDKN2A
R-HSA-3232118,participant,CDKN2A
R-HSA-3108214,participant,CDKN2A
R-HSA-202433,participant,CELL CYCLE
R-HSA-202430,participant,CELL CYCLE
R-HSA-202427,participant,CELL CYCLE
R-HSA-389948,participant,CELL CYCLE
R-HSA-202424,participant,CELL CYCLE
R-HSA-198933,participant,CELL CYCLE
R-HSA-202433,participant,CELL DIVIS
R-HSA-202430,participant,CELL DIVIS
R-HSA-202427,participant,CELL DIVIS
R-HSA-389948,participant,CELL DIVIS
R-HSA-202424,participant,CELL DIVIS
R-HSA-198933,participant,CELL DIVIS
R-HSA-2453902,participant,CELLULAR T
R-HSA-9918442,participant,CELLULAR T
R-HSA-975634,participant,CELLULAR T
R-HSA-382556,participant,CFTR
R-HSA-5693607,participant,CHEK1
R-HSA-176187,participant,CHEK1
R-HSA-69473,participant,CHEK1
R-HSA-6796648,participant,CHEK1
R-HSA-5693565,participant,CHEK2
R-HSA-69473,participant,CHEK2
R-HSA-416476,participant,CHRM1
R-HSA-390648,participant,CHRM1
R-HSA-418594,participant,CHRM2
R-HSA-390648,participant,CHRM2
R-HSA-8856828,participant,CHRM2
R-HSA-8856825,participant,CHRM2
R-HSA-416476,participant,CHRM3
R-HSA-390648,participant,CHRM3
R-HSA-399997,participant,CHRM3
R-HSA-629597,participant,CHRNA4
R-HSA-629587,participant,CHRNA4
R-HSA-629594,participant,CHRNA4
R-HSA-629594,participant,CHRNA7
R-HSA-1236974,participant,CHUK
R-HSA-445989,participant,CHUK
R-HSA-5357905,participant,CHUK
R-HSA-1169091,participant,CHUK
R-HSA-975144,participant,CHUK
R-HSA-9833482,participant,CHUK
R-HSA-5607764,participant,CHUK
R-HSA-202424,participant,CHUK
R-HSA-2871837,participant,CHUK
R-HSA-9020702,participant,CHUK
R-HSA-937041,participant,CHUK
R-HSA-9758274,participant,CHUK
R-HSA-937039,participant,CHUK
R-HSA-933543,participant,CHUK
R-HSA-1810476,participant,CHUK
R-HSA-933542,participant,CHUK
R-HSA-9705671,participant,CHUK
R-HSA-168638,participant,CHUK
R-HSA-5357956,participant,CHUK
R-HSA-168927,participant,CHUK
R-HSA-9860927,participant,CHUK
R-HSA-9909505,participant,CHUK
R-HSA-5684264,participant,CHUK
R-HSA-9860276,participant,CHUK
R-HSA-5603029,participant,CHUK
R-HSA-198323,participant,CHUK
R-HSA-5676590,participant,CHUK
R-HSA-5607761,participant,CHUK
R-HSA-5674400,participant,CHUK
R-HSA-5603027,participant,CHUK
R-HSA-5602636,participant,CHUK
R-HSA-420029,participant,CLDN18
R-HSA-418594,participant,CNR1
R-HSA-373076,participant,CNR1
R-HSA-418594,participant,CNR2
R-HSA-373076,participant,CNR2
R-HSA-200425,participant,CPT2
R-HSA-1989781,participant,CPT2
R-HSA-977606,participant,CR1
R-HSA-6798695,participant,CR1
R-HSA-8877330,participant,CR1
R-HSA-449836,participant,CSF1R
R-HSA-8853884,participant,CSF1R
R-HSA-9680350,participant,CSF1R
R-HSA-389356,participant,CTLA4
R-HSA-389513,participant,CTLA4
R-HSA-8877330,participant,CTLA4
R-HSA-1679131,participant,CTSK
R-HSA-418594,participant,CXCL8
R-HSA-380108,participant,CXCL8
R-HSA-2559582,participant,CXCL8
R-HSA-375276,participant,CXCL8
R-HSA-380994,participant,CXCL8
R-HSA-6783783,participant,CXCL8
R-HSA-6785807,participant,CXCL8
R-HSA-69273,participant,CYCLIN-DEP
R-HSA-174184,participant,CYCLIN-DEP
R-HSA-69656,participant,CYCLIN-DEP
R-HSA-209931,participant,DDC
R-HSA-209905,participant,DDC
R-HSA-9824272,participant,DLL3
R-HSA-9793380,participant,DLL3
R-HSA-3214841,participant,DOT1L
R-HSA-418555,participant,DRD1
R-HSA-390651,participant,DRD1
R-HSA-390651,participant,DRD2
R-HSA-202670,participant,DUAL SPECI
R-HSA-1538133,participant,DYRK1A
R-HSA-416476,participant,EDNRA
R-HSA-375276,participant,EDNRA
R-HSA-416476,participant,EDNRB
R-HSA-375276,participant,EDNRB
R-HSA-9856649,participant,EDNRB
R-HSA-166208,participant,EEF2K
R-HSA-177929,participant,EGFR
R-HSA-5638303,participant,EGFR
R-HSA-1227986,participant,EGFR
R-HSA-1236394,participant,EGFR
R-HSA-9609690,participant,EGFR
R-HSA-445144,participant,EGFR
R-HSA-9820960,participant,EGFR
R-HSA-9634285,participant,ERBB2
R-HSA-9652282,participant,ERBB2
