dependency_fraction,mean_gene_effect,n_models,source,target_id,updated_at
0.0033112582781456954,-0.03468883767434241,1208,DepMap,CLDN18,2026-05-26 11:14:34.585491+00:00
0.0,0.06522450054822768,1208,DepMap,CNR1,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.032101074659247684,1208,DepMap,CNR2,2026-05-26 11:14:34.585491+00:00
0.016556291390728478,-0.16561740451947354,1208,DepMap,CPT2,2026-05-26 11:14:34.585491+00:00
0.0026109660574412533,0.20407008644949634,383,DepMap,CR1,2026-05-26 11:14:34.585491+00:00
0.0,-0.014285310303098127,1208,DepMap,CSF1R,2026-05-26 11:14:34.585491+00:00
0.0,-0.009473849529256178,1208,DepMap,CTLA4,2026-05-26 11:14:34.585491+00:00
0.0173841059602649,-0.18071845984161125,1208,DepMap,CTSK,2026-05-26 11:14:34.585491+00:00
0.0033112582781456954,-0.03208480765642549,1208,DepMap,CXCL14,2026-05-26 11:14:34.585491+00:00
0.0,0.024457258798792677,1208,DepMap,CXCL8,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.09849573349041849,1208,DepMap,DDC,2026-05-26 11:14:34.585491+00:00
0.0033112582781456954,-0.06734440100808704,1208,DepMap,DLL3,2026-05-26 11:14:34.585491+00:00
0.12086092715231789,-0.1480416213557466,1208,DepMap,DOT1L,2026-05-26 11:14:34.585491+00:00
0.0,0.11354016674236282,1208,DepMap,DRD1,2026-05-26 11:14:34.585491+00:00
0.0,0.027774418469245995,1208,DepMap,DRD2,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.020011101296317283,1208,DepMap,DUSP26,2026-05-26 11:14:34.585491+00:00
0.10513245033112582,-0.09676001484424021,1208,DepMap,DYRK1A,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.12268008551805974,1208,DepMap,EDNRA,2026-05-26 11:14:34.585491+00:00
0.0,0.037512733466833315,1208,DepMap,EDNRB,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.0009519979575499586,1208,DepMap,EEF2K,2026-05-26 11:14:34.585491+00:00
0.17549668874172186,-0.23732709247789596,1208,DepMap,EGFR,2026-05-26 11:14:34.585491+00:00
0.1771523178807947,-0.3548768791428111,1208,DepMap,ERBB2,2026-05-26 11:14:34.585491+00:00
0.07947019867549669,-0.2063695344797716,1208,DepMap,ERBB3,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.0031311164534696748,1208,DepMap,ESR2,2026-05-26 11:14:34.585491+00:00
0.06870860927152318,-0.048998751925470055,1208,DepMap,EZH2,2026-05-26 11:14:34.585491+00:00
0.0,0.11802416551604451,1208,DepMap,F10,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.010765516774271434,1208,DepMap,F11,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.00681593271993753,1208,DepMap,F12,2026-05-26 11:14:34.585491+00:00
0.014072847682119206,-0.15255429270951157,1208,DepMap,F2,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,0.006132365048144469,1208,DepMap,F5,2026-05-26 11:14:34.585491+00:00
0.0,0.04156620043834457,1208,DepMap,F9,2026-05-26 11:14:34.585491+00:00
0.10016556291390728,-0.16861339065201905,1208,DepMap,FDFT1,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.06252714118354248,1208,DepMap,FES,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.005375663039259144,1208,DepMap,FGA,2026-05-26 11:14:34.585491+00:00
0.0,0.14077966548764093,1208,DepMap,FGB,2026-05-26 11:14:34.585491+00:00
0.11506622516556292,-0.18423858096600745,1208,DepMap,FGFR1,2026-05-26 11:14:34.585491+00:00
0.0173841059602649,-0.06813625413231614,1208,DepMap,FGFR2,2026-05-26 11:14:34.585491+00:00
0.004966887417218543,0.04587872453319257,1208,DepMap,FGFR3,2026-05-26 11:14:34.585491+00:00
0.006622516556291391,-0.003440173858057898,1208,DepMap,FGFR4,2026-05-26 11:14:34.585491+00:00
0.011589403973509934,-0.12224121763478694,1208,DepMap,FGG,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.02735782142589065,1208,DepMap,FLT1,2026-05-26 11:14:34.585491+00:00
0.009105960264900662,-0.1466168890279061,1208,DepMap,FLT3,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.023645524755389807,1208,DepMap,FLT4,2026-05-26 11:14:34.585491+00:00
0.0,0.06090238618324303,1208,DepMap,FSHR,2026-05-26 11:14:34.585491+00:00
0.029801324503311258,-0.059364331328982646,1208,DepMap,FUS,2026-05-26 11:14:34.585491+00:00
0.0,0.020669058386120914,1208,DepMap,FYN,2026-05-26 11:14:34.585491+00:00
0.0,0.08928846124785493,1208,DepMap,GABRA1,2026-05-26 11:14:34.585491+00:00
0.0,0.012663050488812052,1208,DepMap,GABRA4,2026-05-26 11:14:34.585491+00:00
0.0,0.012590819475756953,1208,DepMap,GABRB2,2026-05-26 11:14:34.585491+00:00
0.0074503311258278145,-0.09230808341556547,1208,DepMap,GAMT,2026-05-26 11:14:34.585491+00:00
0.0041390728476821195,0.06725452414276151,1208,DepMap,GATA4,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.044165301927599626,1208,DepMap,GCGR,2026-05-26 11:14:34.585491+00:00
0.009105960264900662,-0.08375980889492608,1208,DepMap,GCH1,2026-05-26 11:14:34.585491+00:00
0.0024834437086092716,-0.016287236147759336,1208,DepMap,GIPR,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,-0.03037051058345272,1208,DepMap,GLA,2026-05-26 11:14:34.585491+00:00
0.0016556291390728477,0.11505115329319329,1208,DepMap,GLP1R,2026-05-26 11:14:34.585491+00:00
0.0,0.017623884968859745,1208,DepMap,GNB5,2026-05-26 11:14:34.585491+00:00
0.0008278145695364238,0.06066678981824225,1208,DepMap,GNRHR,2026-05-26 11:14:34.585491+00:00
