category,created_at,description,external_id,icd_code,id,is_oncology_subtype,mesh_id,name,parent_id,prevalence_tier,source,synonyms,therapeutic_area
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,kawasaki disease,False,68009080,Kawasaki Disease,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,kidney neoplasms,False,68007680,Kidney Neoplasms,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,prostate cancer,False,68011471,Prostate Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pituitary adenoma,False,68049913,Pituitary Adenoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,respiratory distress syndrome of newborn,False,68012127,Respiratory Distress Syndrome of Newborn,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pulmonary embolism,False,68011655,Pulmonary Embolism,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,non-melanomatous skin cancer,False,2109062,Non-melanomatous Skin Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,refractory cancer,False,68064129,Refractory Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,solid tumors,False,68066066,Solid Tumors,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,ischemic cerebrovascular disease,False,,Ischemic Cerebrovascular Disease,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,cyp1a2 polymorphism,False,,CYP1A2 Polymorphism,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,cyp2c9 polymorphism,False,,CYP2C9 Polymorphism,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,plasma concentration,False,,Plasma Concentration,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pharmacokinetic study in healthy male volunteers,False,,Pharmacokinetic Study in Healthy Male Volunteers,,,,,
clinical_trial,2026-04-12 13:45:33.110344+00:00,,,,t-cell acute lymphoblastic lymphoma,False,68054218,T-cell Acute Lymphoblastic Lymphoma,,,,,
clinical_trial,2026-04-12 13:45:22.664527+00:00,,,,t-cell large granular lymphocyte leukemia,False,68054066,T-Cell Large Granular Lymphocyte Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,dementia,False,MONDO_0001627,Dementia,,,,,psychiatric disorder
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,low-grade glioma,False,,Low-Grade Glioma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"unspecified adult solid tumor, protocol specific",False,,"Unspecified Adult Solid Tumor, Protocol Specific",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,major bleed,False,,Major Bleed,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,kidney transplant; complications,False,,Kidney Transplant; Complications,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,philadelphia chromosome positive acute lymphocytic leukemia,False,,Philadelphia Chromosome Positive Acute Lymphocytic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,low grade glioma,False,,Low Grade Glioma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,angiotensin ii receptor antagonist adverse reaction,False,,Angiotensin II Receptor Antagonist Adverse Reaction,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,polymorphosis,False,,Polymorphosis,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,pancreatic adenocarcinoma,False,,Pancreatic Adenocarcinoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent pancreatic carcinoma,False,,Recurrent Pancreatic Carcinoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,stage iii pancreatic cancer ajcc v6 and v7,False,,Stage III Pancreatic Cancer AJCC v6 and v7,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,stage iv pancreatic cancer ajcc v6 and v7,False,,Stage IV Pancreatic Cancer AJCC v6 and v7,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,unresectable pancreatic carcinoma,False,,Unresectable Pancreatic Carcinoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,oligoastrocytoma,False,EFO_0000630,Oligoastrocytoma,,,,,nervous system disease
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute leukemia of ambiguous lineage,False,,Acute Leukemia of Ambiguous Lineage,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute undifferentiated leukemia,False,,Acute Undifferentiated Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,allogeneic hematopoietic stem cell transplant recipient,False,,Allogeneic Hematopoietic Stem Cell Transplant Recipient,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,childhood acute lymphoblastic leukemia in remission,False,,Childhood Acute Lymphoblastic Leukemia in Remission,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,childhood acute myeloid leukemia in remission,False,,Childhood Acute Myeloid Leukemia in Remission,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent acute lymphoblastic leukemia,False,,Recurrent Acute Lymphoblastic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent acute myeloid leukemia,False,,Recurrent Acute Myeloid Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent childhood acute lymphoblastic leukemia,False,,Recurrent Childhood Acute Lymphoblastic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent childhood acute myeloid leukemia,False,,Recurrent Childhood Acute Myeloid Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"recurrent chronic myelogenous leukemia, bcr-abl1 positive",False,,"Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,refractory acute lymphoblastic leukemia,False,,Refractory Acute Lymphoblastic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,refractory acute myeloid leukemia,False,,Refractory Acute Myeloid Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute lymphoblastic leukemia in remission,False,,Acute Lymphoblastic Leukemia in Remission,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute myeloid leukemia in remission,False,,Acute Myeloid Leukemia in Remission,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,death,False,81000401,Death,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,acute biphenotypic leukemia,False,68015456,Acute Biphenotypic Leukemia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,chronic kidney diseases,False,68051436,Chronic Kidney Diseases,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,anaplastic astrocytoma,False,68001254,Anaplastic Astrocytoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",False,68001752,"Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,blastic plasmacytoid dendritic cell neoplasm,False,2108223,Blastic Plasmacytoid Dendritic Cell Neoplasm,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,intracerebral hemorrhage,False,68020299,Intracerebral Hemorrhage,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,anaplastic oligodendroglioma,False,68009837,Anaplastic Oligodendroglioma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,anxiety disorders,False,68001008,Anxiety Disorders,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,cancer stem cell,False,68014411,Cancer Stem Cell,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"carcinoma, non-small cell lung",False,68002289,"Carcinoma, Non-Small Cell Lung",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,mild cognitive impairment,False,68060825,Mild Cognitive Impairment,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"carcinoma, small-cell lung",False,68055752,"Carcinoma, Small-Cell Lung",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,esophageal neoplasms,False,68004938,Esophageal Neoplasms,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,covid19,False,2103233,Covid19,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,gastrointestinal stromal tumors,False,68046152,Gastrointestinal Stromal Tumors,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,donor,False,68061349,Donor,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,myelodysplastic syndrome with excess blasts,False,68000754,Myelodysplastic Syndrome With Excess Blasts,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,ovarian cancer,False,68061325,Ovarian Cancer,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,gene,False,68064351,Gene,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,glioblastoma multiforme,False,68005909,Glioblastoma Multiforme,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,hiv/aids and infections,False,68017088,HIV/AIDS and Infections,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,myelodysplastic syndrome with excess blasts-1,False,68000754,Myelodysplastic Syndrome With Excess Blasts-1,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,polymerase chain reaction,False,68060888,Polymerase Chain Reaction,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,lymphoblastic lymphoma,False,68054218,Lymphoblastic Lymphoma,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,patient preference,False,68057240,Patient Preference,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,"polymorphism, genetic",False,68011110,"Polymorphism, Genetic",,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,stemi,False,2016754,STEMI,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,stomach neoplasms,False,68013274,Stomach Neoplasms,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,extracorporeal circulation; complications,False,,Extracorporeal Circulation; Complications,,,,,
clinical_trial,2026-04-12 13:45:35.868921+00:00,,,,tardive dyskinesia,False,2016363,Tardive Dyskinesia,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,cryopyrin-associated periodic syndromes (caps),False,,Cryopyrin-associated Periodic Syndromes (CAPS),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,familial cold autoinflam syn (fcas),False,,Familial Cold Autoinflam Syn (FCAS),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,muckle-wells syn (mws),False,,Muckle-wells Syn (MWS),,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,b acute lymphoblastic leukemia with t(9;22)(q34;q11.2); bcr-abl1,False,,B Acute Lymphoblastic Leukemia With t(9;22)(q34;q11.2); BCR-ABL1,,,,,
clinical_trial,2026-04-12 13:45:21.148336+00:00,,,,recurrent adult acute lymphoblastic leukemia,False,,Recurrent Adult Acute Lymphoblastic Leukemia,,,,,
