association_score,evidence_type,indication_id,source_doc_id,target_id
0.2822072578898084,open_targets_clinical,alzheimer_disease,,ALDH5A1
0.5,clinical_trial_phase2,bladder_carcinoma,,BRCA1
0.5,clinical_trial_phase2,cervical_carcinoma,,BRCA1
0.75,clinical_trial_phase3,fallopian_tube_endometrioid_adenocarcinoma,,BRCA1
0.75,clinical_trial_phase3,fallopian_tube_high_grade_serous_adenocarcinoma,,BRCA1
0.75,clinical_trial_phase3,figo_stage_iii_ovarian_cancer_2014,,BRCA1
0.7175357250579572,clinical_trial_phase2,cancer,,ATM
0.5,clinical_trial_phase2,ann_arbor_stage_iv_non-hodgkin_lymphoma,,BRCA2
0.5,clinical_trial_phase2,advanced_malignant_solid_neoplasm,,BRCA2
0.26500960289418557,open_targets_affected_pathway,alzheimer_disease,,ATXN2
0.2639256511850041,open_targets_genetic_association,stroke,,ATXN2
0.0,clinical_trial_phase0,"smoking,_tobacco",,CFTR
0.0,clinical_trial_phase0,"drinking,_alcohol",,CFTR
0.75,clinical_trial_phase3,advanced_breast_cancer,,PARP2
0.4019563745041209,open_targets_genetic_association,vein_disorder,,F5
0.25,clinical_trial_phase1,healthy_participants,,ABCB1
0.5932929671949797,open_targets_clinical,hypertension,,HMGCR
0.4107059071378255,open_targets_clinical,androgenetic_alopecia,,ABCC9
0.26609749537298527,open_targets_genetic_association,kleefstra_syndrome_1,,ABCC9
0.3938308901915676,open_targets_genetic_association,cardiomyopathy,,ABCC9
0.3400134663099256,open_targets_genetic_association,micrognathia,,ABCC9
0.33396294416820266,open_targets_genetic_association,chorioretinal_scar,,ABCC9
0.3747721798588945,open_targets_clinical,alopecia,,ABCC9
0.25,clinical_trial_phase1,head_and_neck_cancer,,ABL1
0.29721427123816374,open_targets_genetic_association,wolff-parkinson-white_syndrome,,ABCC9
0.75,clinical_trial_phase3,chronic_thrombocytopenia,,ABCB1
0.25,clinical_trial_phase1,wilms'_tumor,,ABCB1
0.25,clinical_trial_phase1,sarcoma,,ABCB1
0.25,clinical_trial_phase1,adenaocortical_carcinoma,,ABCB1
0.25,clinical_trial_phase1,refractory_cancer,,ABCB1
0.25,clinical_trial_phase1,coldrhood_cancer,,ABCB1
0.5,clinical_trial_phase2,stroke,,ABCB1
0.5,clinical_trial_phase2,systemic_embolism,,ABCB1
0.25,clinical_trial_phase1,neuropathic_pain,,ABCB1
1.0,clinical_trial_phase4,hiv_infections,,ABCB1
0.3726906334442128,open_targets_affected_pathway,hypertrichosis,,ABCC9
0.37166592292822664,open_targets_affected_pathway,alzheimer_disease,,ABCC9
0.3708913498634787,open_targets_affected_pathway,osteochondrodysplasia,,ABCC9
0.37050380432141355,open_targets_affected_pathway,parkinson_disease,,ABCC9
0.37013422446672883,open_targets_affected_pathway,multiple_sclerosis,,ABCC9
0.3695798546847018,open_targets_affected_pathway,lysosomal_storage_disease,,ABCC9
0.3409528151072493,open_targets_genetic_association,patent_ductus_arteriosus,,ABCC9
0.3409322828931001,open_targets_genetic_association,macrocephaly,,ABCC9
0.34075262601929507,open_targets_genetic_association,left_ventricular_hypertrophy,,ABCC9
0.3400134663099256,open_targets_genetic_association,tapered_finger,,ABCC9
0.5,clinical_trial_phase2,chronic_myeloid_leukemia_(cml),,ABL1
0.5,clinical_trial_phase2,adult_acute_lymphoblastic_leukemia_in_remission,,ABL1
0.3400134663099256,open_targets_genetic_association,epicanthus,,ABCC9
0.5,clinical_trial_phase2,adult_b_acute_lymphoblastic_leukemia_with_t(9;22)(q34.1;q11.2);_bcr-abl1,,ABL1
0.3400134663099256,open_targets_genetic_association,epicanthal_fold,,ABCC9
0.5,clinical_trial_phase2,blastic_phase,,ABL1
0.3400134663099256,open_targets_genetic_association,low_anterior_hairline,,ABCC9
0.5,clinical_trial_phase2,childhood_acute_lymphoblastic_leukemia_in_remission,,ABL1
0.3400134663099256,open_targets_genetic_association,large_hands,,ABCC9
0.5,clinical_trial_phase2,childhood_b_acute_lymphoblastic_leukemia_with_t(9;22)(q34.1;q11.2);_bcr-abl1,,ABL1
0.3400134663099256,open_targets_genetic_association,thick_upper_lip_vermilion,,ABCC9
0.0,clinical_trial_phase0,ph+_all,,ABL1
0.3400134663099256,open_targets_genetic_association,bulbous_nose,,ABCC9
0.0,clinical_trial_phase0,chronic_phase_chronic_myeloid_leukemia,,ABL1
0.3400134663099256,open_targets_genetic_association,coarse_facial_features,,ABCC9
0.0,clinical_trial_phase0,"chronic_myelogenous_leukemia,_bcr-abl1_positive",,ABL1
0.3400134663099256,open_targets_genetic_association,depressed_nasal_bridge,,ABCC9
0.25,clinical_trial_phase1,philadelphia_chromosome_positive_chronic_myelogenous_leukemia,,ABL1
0.3400134663099256,open_targets_genetic_association,abnormality_of_the_face,,ABCC9
0.5,clinical_trial_phase2,chronic_myelogenous_leukemia_-_chronic_phase,,ABL1
0.3400134663099256,open_targets_genetic_association,joint_hypermobility,,ABCC9
0.0,clinical_trial_phase0,different_gene_between_different_tkis_effection,,ABL1
0.29244631365753665,open_targets_genetic_association,stomach_disease,,ABCC9
0.8219762968845584,clinical_trial_phase1,chronic_myelogenous_leukemia,,ABL1
0.5,clinical_trial_phase2,adult_cml,,ABL1
0.2726758193036988,open_targets_genetic_association,hypocalcemia,,ABCC9
0.5,clinical_trial_phase2,"leukemia,_myeloid",,ABL1
0.26692905004602585,open_targets_genetic_association,genetic_disorder,,ABCC9
0.5,clinical_trial_phase2,"leukemia,myeloid,_chronic",,ABL1
0.24247756655586952,open_targets_genetic_association,breast_benign_neoplasm,,ABCC9
0.16622065284767185,open_targets_animal_model,hypertrophic_cardiomyopathy,,ABCC9
0.5,clinical_trial_phase2,"leukemia,_acute",,ABL1
0.2501677112456002,open_targets_genetic_association,adolescent_idiopathic_scoliosis,,ABCC9
0.5,clinical_trial_phase2,"leukemia,_lymphoblastic",,ABL1
0.23282510741210105,open_targets_genetic_association,hippocampal_sclerosis_of_aging,,ABCC9
0.5,clinical_trial_phase2,"leukemia,_b-cell",,ABL1
0.22773046943804773,open_targets_genetic_association,peripheral_vascular_disease,,ABCC9
0.5,clinical_trial_phase2,"chronic_myelogenous_leukemia,_bcr/abl_positive",,ABL1
0.5,clinical_trial_phase2,malignant_neoplasm,,ABL1
0.5883194827586052,open_targets_clinical,gastrointestinal_stromal_tumor,,ABL1
0.5,clinical_trial_phase2,"chronic_phase_chronic_myelogenous_leukemia,_bcr-abl1_positive",,ABL1
0.5,clinical_trial_phase2,"chronic_myeloid_leukemia,_bcr/abl-positive,_in_remission",,ABL1
0.5398373886693749,clinical_trial_phase1,colorectal_cancer,,ABL1
0.5,clinical_trial_phase2,chronic_myeloid_leukemia_in_remission,,ABL1
0.5,clinical_trial_phase2,leukemia,,ABL1
0.5,clinical_trial_phase2,"chronic_myeloid_leukemia,_chronic_phase",,ABL1
0.5,clinical_trial_phase1,chronic_myeloid_leukemia,,ABL1
0.4386329438708297,open_targets_genetic_association,peripheral_arterial_disease,,F5
0.5889438339807765,open_targets_clinical,familial_hyperlipidemia,,HMGCR
0.7074677667861854,open_targets_literature,acute_lymphoblastic_leukemia,,ABL1
0.629423249209698,open_targets_clinical,neoplasm,,ABL1
0.2669275608578719,open_targets_genetic_association,small_intestine_neoplasm,,ANGPTL3
0.6009040606154002,open_targets_clinical,"blast_phase_chronic_myelogenous_leukemia,_bcr-abl1_positive",,ABL1
0.5672317368963593,open_targets_clinical,allergic_disease,,ADRB2
1.0,clinical_trial_phase4,ankylosing_spondylitis,,CA2
0.2775955352965093,open_targets_clinical,schizophrenia,,ALDH5A1
0.26609749537298527,open_targets_genetic_association,fetal_akinesia_deformation_sequence_1,,ALDH5A1
0.0,clinical_trial_phase0,microalbuminuria,,ACE
0.5,clinical_trial_phase2,sarcoma,,ATM
0.5,clinical_trial_phase2,refractory_cancer,,ATM
0.5,clinical_trial_phase2,kidney_cancer,,ATM
0.25870589827929125,open_targets_clinical,amyotrophic_lateral_sclerosis,,ALDH5A1
0.5,clinical_trial_phase2,advanced_breast_cancer,,ATM
0.5,clinical_trial_phase2,her2/neu_negative,,ATM
0.5,clinical_trial_phase2,triple-negative_breast_cancer,,ATM
0.826807229393595,open_targets_genetic_literature,glycogen_storage_disease_due_to_aldolase_a_deficiency,,ALDOA
0.7564322944473939,open_targets_literature,non-small_cell_lung_carcinoma,,ALK
0.7456520590331251,open_targets_somatic_mutation,"neuroblastoma,_susceptibility_to,_3",,ALK
0.7090023651449515,open_targets_affected_pathway,cancer,,ALK
0.5,clinical_trial_phase2,histiocytic_sarcoma,,BRCA2
0.5,clinical_trial_phase2,juvenile_xanthogranuloma,,BRCA2
0.75,clinical_trial_phase3,"neoplasms,_breast",,BRCA2
0.75,clinical_trial_phase3,carcinoma_of_breast,,BRCA2
0.75,clinical_trial_phase3,human_epidermal_growth_factor_2_negative_carcinoma_of_breast,,BRCA2
0.42550651537372663,open_targets_literature,lymphoma,,ALK
0.4020279446948117,open_targets_genetic_association,prostate_carcinoma,,ALOX5
0.38739733823884326,open_targets_clinical,crohn's_disease,,ALOX5
0.3733927890974264,open_targets_clinical,osteoarthritis,,ALOX5
0.5,clinical_trial_phase2,metastatic_renal_cell_carcinoma,,BRCA2
0.25,clinical_trial_phase1,"ovarian_cancer,_epithelial",,BRCA2
0.25,clinical_trial_phase1,small_cell_lung_carcinoma,,BRCA2
0.25,clinical_trial_phase1,advanced_cancer,,BRCA2
0.25,clinical_trial_phase1,metastatic_cancer,,BRCA2
0.75,clinical_trial_phase3,metastatic_breast_cancer,,BRCA2
0.3729954891434737,open_targets_clinical,arthritis,,ALOX5
0.37027281691223557,open_targets_clinical,rheumatic_disease,,ALOX5
0.3695798546847018,open_targets_clinical,myalgia,,ALOX5
0.25870589827929125,open_targets_clinical,psoriatic_arthritis,,ALOX5
0.25870589827929125,open_targets_clinical,metastatic_colorectal_cancer,,ALOX5
0.25870589827929125,open_targets_clinical,diverticular_disease,,ALOX5
0.25870589827929125,open_targets_clinical,lymphocytic_colitis,,ALOX5
0.25870589827929125,open_targets_clinical,collagenous_colitis,,ALOX5
0.10043190009150414,open_targets_literature,colorectal_cancer,,ALOX5
0.6739043862507132,open_targets_genetic_association,familial_hypobetalipoproteinemia_2,,ANGPTL3
0.5890468846528952,open_targets_clinical,hypercholesterolemia,,ANGPTL3
0.5075333949216327,open_targets_clinical,homozygous_familial_hypercholesterolemia,,ANGPTL3
0.44963148089609517,open_targets_clinical,cardiovascular_disease,,ANGPTL3
0.43677930597947107,open_targets_genetic_association,metabolic_disease,,ANGPTL3
0.3917960467778627,open_targets_genetic_association,genetic_developmental_and_epileptic_encephalopathy,,ANGPTL3
0.3524658095591982,open_targets_literature,hyperlipidemia,,ANGPTL3
0.34058261167812076,open_targets_genetic_association,familial_lipoprotein_lipase_deficiency,,ANGPTL3
0.30745203521172704,open_targets_genetic_association,disorder_of_lipid_metabolism,,ANGPTL3
0.27401018245225967,open_targets_genetic_association,non-alcoholic_fatty_liver_disease,,ANGPTL3
0.26086035671385205,open_targets_genetic_association,coronary_artery_calcification,,ANGPTL3
0.2606076808328095,open_targets_genetic_association,familial_hyperlipidemia,,ANGPTL3
0.11287017308126784,open_targets_literature,coronary_artery_disease,,ANGPTL3
0.5,clinical_trial_phase2,precision_medicine,,BREAST CAN
0.25918003909480336,open_targets_genetic_association,alcohol_drinking,,ANGPTL3
0.2585303888893869,open_targets_literature,metabolic_syndrome,,ANGPTL3
0.22298339991320643,open_targets_genetic_association,response_to_statin,,ANGPTL3
0.109104616468857,open_targets_literature,hypertriglyceridemia,,ANGPTL3
0.5,clinical_trial_phase2,solid_tumor,,BREAST CAN
