confidence,context_type,mention_count,paper_id,target_id
1.0,,,32882868,ACE2
1.0,,,34012391,ACE2
1.0,,,35228442,ACE2
1.0,,,40967372,ACE2
1.0,,,36876512,ACE2
1.0,,,39968139,ACE2
1.0,,,35902282,ACE2
1.0,,,32418199,ACE2
1.0,,,32783758,ACE2
1.0,,,33034780,ACE2
1.0,,,40145441,ACE2
1.0,,,32780149,ACE2
1.0,,,37896761,ACE2
1.0,,,34903929,ACE2
1.0,,,36726422,ACE2
1.0,,,35380919,ACE2
1.0,,,33296619,ACE2
1.0,,,34745001,ACE2
1.0,,,34356070,ACE2
1.0,,,32691011,ACE2
1.0,,,36507848,ACE2
1.0,,,41838282,ACE2
1.0,,,35867642,ACE2
1.0,,,33175635,ACE2
1.0,,,37275947,ACE2
1.0,,,32901821,ACE2
1.0,,,32550040,ACE2
1.0,,,33796285,ACE2
1.0,,,36794431,ACE2
1.0,,,37105519,ACE2
1.0,,,36162760,ACE2
1.0,,,35223745,ACE2
1.0,,,34668428,ACE2
1.0,,,35515386,ACE2
1.0,,,37861036,ACE2
1.0,,,36705419,ACE2
1.0,,,37312182,ACE2
1.0,,,34479017,ACE2
1.0,,,36265585,ACE2
1.0,,,34419496,ACE2
1.0,,,33284956,ACE2
1.0,,,33809851,ACE2
1.0,,,35942040,ACE2
1.0,,,33593260,ACE2
1.0,,,32428864,ACE2
1.0,,,38139269,ACE2
1.0,,,32965078,ACE2
1.0,,,38810024,ACE2
1.0,,,38567498,ACE2
1.0,,,40166473,ACE2
1.0,,,34371003,ACE2
1.0,,,33951227,ACE2
1.0,,,33070542,ACE2
1.0,,,36898276,ACE2
1.0,,,36997336,ACE2
1.0,,,41303587,ACE2
1.0,,,40576111,ACE2
1.0,,,38618194,ACE2
1.0,,,39600282,ACE2
1.0,,,37221286,ACE2
1.0,,,35743823,ACE2
1.0,,,36518573,ACE2
1.0,,,37521846,ACE2
1.0,,,33498183,ACE2
1.0,,,33489475,ACE2
1.0,,,38498345,ACE2
1.0,,,37892134,ACE2
1.0,,,34951153,ACE2
1.0,,,38174591,ACE2
1.0,,,34798263,ACE2
1.0,,,41348733,ACE2
1.0,,,33645443,ACE2
1.0,,,34867819,ACE2
1.0,,,32301766,ACE2
1.0,,,32665962,ACE2
1.0,,,36806814,ACE2
1.0,,,34773078,ACE2
1.0,,,34561952,ACE2
1.0,,,35857504,ACE2
1.0,,,33462852,ACE2
1.0,,,35221082,ACE2
1.0,,,33251800,ACE2
1.0,,,32699853,ACE2
1.0,,,36261668,ACE2
1.0,,,33308506,ACE2
1.0,,,33865979,ACE2
1.0,,,35323111,ACE2
1.0,,,36757984,ACE2
1.0,,,39159813,ACE2
1.0,,,32879112,ACE2
1.0,,,32851855,ACE2
1.0,,,37433017,ACE2
1.0,,,34522576,ACE2
1.0,,,35475417,ACE2
1.0,,,37031320,ACE2
1.0,,,32917884,ACE2
1.0,,,35366343,ACE2
1.0,,,35448480,ACE2
1.0,,,32981365,ACE2
1.0,,,40613222,ACE2
1.0,,,36284262,ACE2
1.0,,,39337446,ACE2
1.0,,,38646520,ACE2
1.0,,,37394764,ACE2
1.0,,,37981444,ACE2
1.0,,,32587974,ACE2
1.0,,,39280273,ACE2
1.0,,,34504610,ACE2
1.0,,,34109607,ACE2
1.0,,,35318858,ACE2
1.0,,,33660398,ACE2
1.0,,,34328726,ACE2
1.0,,,36521705,ACE2
1.0,,,35220926,ACE2
1.0,,,38246999,AGTR1
1.0,,,36524127,AGTR1
1.0,,,38956062,AGTR1
1.0,,,39244215,AGTR1
1.0,,,34685589,AGTR1
1.0,,,34252409,AGTR1
1.0,,,38726925,AGTR1
1.0,,,39552415,AGTR1
1.0,,,37808379,AGTR1
1.0,,,40974303,AGTR1
1.0,,,41723221,AGTR1
1.0,,,35927803,AGTR1
1.0,,,36855786,AGTR1
1.0,,,40311841,AGTR1
1.0,,,41549123,AGTR1
1.0,,,36220392,AGTR1
1.0,,,37038975,AGTR1
1.0,,,33917487,AGTR1
1.0,,,39973561,AGTR1
1.0,,,38750929,AGTR1
1.0,,,32896760,AGTR1
1.0,,,40084687,AGTR1
1.0,,,40522957,AGTR1
1.0,,,36404948,AGTR1
1.0,,,38967229,AGTR1
1.0,,,36174833,AGTR1
1.0,,,34403364,AGTR1
1.0,,,32855697,AGTR1
1.0,,,35345577,AGTR1
1.0,,,32786093,AGTR1
1.0,,,35341274,AGTR1
1.0,,,39450258,AGTR1
1.0,,,33804069,AGTR1
1.0,,,35203304,AGTR1
1.0,,,36983741,AGTR1
1.0,,,36329971,AGTR1
1.0,,,34411608,AGTR1
1.0,,,33422700,AGTR1
1.0,,,40499775,AGTR1
1.0,,,32398797,AGTR1
1.0,,,38411834,AGTR1
1.0,,,35406662,AGTR1
1.0,,,40738474,AGTR1
1.0,,,35419038,AGTR1
1.0,,,36359814,AGTR1
1.0,,,30991105,AGTR1
1.0,,,38734719,AGTR1
1.0,,,38493697,AGTR1
1.0,,,33318872,AGTR1
1.0,,,40351396,AGTR1
1.0,,,34565105,AGTR1
1.0,,,40907688,AGTR1
1.0,,,39092900,AGTR1
1.0,,,38173939,AGTR1
1.0,,,37700366,AGTR1
1.0,,,31926826,AGTR1
1.0,,,41006647,AGTR1
1.0,,,40907729,AGTR1
1.0,,,35126818,AGTR1
1.0,,,38298191,AGTR1
1.0,,,41408107,AGTR1
1.0,,,33820928,AGTR1
1.0,,,32775424,AGTR1
1.0,,,35578843,AGTR1
1.0,,,36327673,AGTR1
1.0,,,40850391,AGTR1
1.0,,,36672676,AGTR1
1.0,,,34451921,AGTR1
1.0,,,36847075,AGTR1
1.0,,,34761128,AGTR1
1.0,,,33310030,AGTR1
1.0,,,36046450,AGTR1
1.0,,,38255922,AGTR1
1.0,,,34550070,AGTR1
1.0,,,37507810,AGTR1
1.0,,,40780307,AGTR1
1.0,,,36751547,AGTR1
1.0,,,36235040,AGTR1
1.0,,,41332695,AGTR1
1.0,,,34413955,AGTR1
1.0,,,34502342,AGTR1
1.0,,,41137247,AGTR1
1.0,,,35372645,AGTR1
1.0,,,40809316,AGTR1
1.0,,,34065198,AGTR1
1.0,,,38594681,AGTR1
1.0,,,38231051,AGTR1
1.0,,,40487344,AGTR1
1.0,,,41726659,AGTR1
1.0,,,38320622,AGTR1
1.0,,,37716425,AGTR1
1.0,,,41455057,AGTR1
1.0,,,41638368,AGTR1
1.0,,,34604307,AGTR1
1.0,,,40538245,AGTR1
1.0,,,33853709,AGTR1
1.0,,,34722352,AGTR1
1.0,,,40672608,AGTR1
1.0,,,33633562,AGTR1
1.0,,,40253180,AGTR1
1.0,,,32194729,AGTR1
1.0,,,38766834,AGTR1
1.0,,,41409985,AGTR1
1.0,,,40710492,AGTR1
1.0,,,40445525,AGTR1
1.0,,,31427727,AGTR2
1.0,,,35870482,AGTR2
1.0,,,41408564,AGTR2
1.0,,,38726925,AGTR2
1.0,,,35927803,AGTR2
1.0,,,35754059,AGTR2
1.0,,,36173505,AGTR2
1.0,,,33917487,AGTR2
1.0,,,38967229,AGTR2
1.0,,,34403364,AGTR2
1.0,,,33804069,AGTR2
