patent_id,person_id
US-12428492-B2,CATHOMEN TONI
US-12428492-B2,ALZUBI JAMAL
US-2025297017-A1,CAFFARO CAROLINA
US-2025297017-A1,AERNI HANS
US-2025297017-A1,DIRAIMONDO THOMAS R
US-2025297017-A1,CAMPBELL DAVID
WO-2025195453-A1,XIONG MEIJUN
WO-2025195453-A1,WANG LINA
WO-2025195453-A1,QIN GANG
US-2025297001-A1,MORRISON KENDALL
US-2025297001-A1,KANG SOHYE
WO-2025195449-A1,LI ZHUOLIN
WO-2025195449-A1,ZHANG NA
WO-2025195449-A1,SHANG CHENGZHANG
WO-2025195449-A1,YANG YI
WO-2025195449-A1,SHEN YUELEI
WO-2025194412-A1,SONG QIFENG
WO-2025194412-A1,ZHU YONGQIANG
WO-2025194412-A1,LI LIXIANG
WO-2025196502-A1,ZIMMERMAN TAHL
WO-2025196502-A1,LACAL SANJUÁN JUAN CARLOS
WO-2025196502-A1,IBRAHIM SALAM
WO-2025195500-A1,PENG HAO
WO-2025195500-A1,NING JINYING
WO-2025195500-A1,HAO FENG
WO-2025195500-A1,LI XIA
WO-2025195500-A1,WU GUOJIN
US-2025297268-A1,LAJOIE MARC
US-2025297268-A1,VONG QUEENIE
US-2025297268-A1,RYU BYOUNG
US-2025297268-A1,PARK SPENCER
US-2025297268-A1,SATHER BLYTHE
US-2025297028-A1,FELTQUATE DAVID
US-2025297028-A1,JURE-KUNKEL MARIA
US-2025297028-A1,GAGNIER PAUL
WO-2025195450-A1,YANG BO
WO-2025195450-A1,ZHOU ZHAN
WO-2025195450-A1,SHEN YING
WO-2025195450-A1,CAO JI
WO-2025195450-A1,ZHAO WENBIN
WO-2025195505-A1,Zhu dongxing
WO-2025195505-A1,LI ZHENGTAO
WO-2025195505-A1,WANG TAO
WO-2025195505-A1,ZHOU YIKE
WO-2025195505-A1,TANG RENHONG
WO-2025195505-A1,ZHU WEI
US-2025295655-A1,LUND GITTE
US-2025295655-A1,JACOBI HUGO HENRIK
EP-4620959-A1,WANG ZHAOYIN
EP-4620959-A1,YANG SHUAILONG
EP-4620959-A1,GUO WEICHEN
EP-4570256-A3,YEE CASSIAN
EP-4570256-A3,LIZEE GREGORY
EP-4570256-A3,HWU PATRICK
EP-4619403-A1,LEE YOUNHO
EP-4619403-A1,HWANG SEONAH
EP-4619403-A1,KIM DAEKWON
US-12421231-B2,GUICHOU JEAN-FRANÇOIS
US-12421231-B2,GELIN MURIEL
US-12421231-B2,BIECHY AURÉLIEN
US-12421231-B2,BORIES CÉDRIC
US-12421231-B2,MATHIEU LOÏC
US-12421232-B2,WANG PENG
US-12421232-B2,SANCHEZ ROBERTO
US-12421232-B2,DEVITA ROBERT
US-12421232-B2,GARCIA-OCAÑA ADOLFO
US-12421232-B2,KUMAR KUNAL
US-12421232-B2,STEWART ANDREW
US-12421556-B2,JONES ROBIN
US-12421556-B2,CHEANG MAGGIE
US-12421556-B2,LEE ALEX
US-12421556-B2,HUANG PAUL
US-12421221-B2,KIM SUNG-EUN
US-12421221-B2,LEE YONG HYUB
US-12421221-B2,RAJESH RENGASAMY
US-12421221-B2,HONG SUNG TAK
US-12421221-B2,LEE SUNHO
US-12419879-B2,SAHU NISEBITA
US-12419879-B2,SETTLEMAN JEFF
US-12419885-B2,DANDAPANI SIVARAMAN
US-12419885-B2,NAG PARTHA P
US-12419885-B2,MUNOZ BENITO
US-12419885-B2,LEWIS MICHAEL C
US-12419885-B2,STEGMAIER KIMBERLY
US-12419885-B2,PAN JENNIFER Q
US-12419885-B2,HAGGARTY STEPHEN J
US-12419885-B2,WEIWER MICHEL
US-12419885-B2,GERMAIN ANDREW
US-12419885-B2,BANERJI VERSHA
US-12419885-B2,WAGNER FLORENCE FEVRIER
US-12419885-B2,BISHOP JOSHUA A
US-12419885-B2,HOLSON EDWARD
US-12419889-B2,CABANSKI MACIEJ
US-12419889-B2,KAUL MARTIN
US-12419889-B2,RADIVOJEVIC ANDRIJANA
US-12419889-B2,BIETH BRUNO
US-12419889-B2,SEVERIN THOMAS
US-12419889-B2,STORIM JULIAN
US-12419889-B2,CENNI BRUNO
US-12419889-B2,DE BUCK STEFAN
US-12419889-B2,VITALITI GARAMI ALESSANDRA
US-12419889-B2,BHATTACHARYA SOUVIK
US-12419889-B2,KINHIKAR ARVIND
US-12421294-B2,JENSEN MICHAEL C
WO-2025190404-A1,YAN YAO
